image,ground_truth_person_count,crowd_label,crowd_status,person_count,avg_confidence,min_confidence,max_confidence,total_bbox_area_ratio,avg_bbox_area_ratio,max_bbox_area_ratio,avg_bbox_width_ratio,avg_bbox_height_ratio,people_per_megapixel,average_center_distance,average_nearest_neighbor_distance,grid_00,grid_01,grid_02,grid_10,grid_11,grid_12,grid_20,grid_21,grid_22,image_width,image_height,image_id,ground_truth_mask_count,count_difference,absolute_count_error,count_error_percent,detection_count_ratio
"273271,104ec00067d5b782.jpg",39,1,CROWD,33,0.6394401788711548,0.3162378072738647,0.9337501525878906,1.6760145425796509,0.0507883206009864,0.2062322050333023,0.1018576025962829,0.4033282101154327,47.39200367647059,0.418975830078125,0.0694430246949195,10,0,2,11,3,7,0,0,0,1024,680,"273271,104ec00067d5b782",3,-6,6,15.384615384615383,0.8461538461538461
"273271,10f400006b6fb935.jpg",7,0,NOT-CROWD,10,0.7436990141868591,0.4026030004024505,0.9284265637397766,0.7919259071350098,0.0791925936937332,0.2071795463562011,0.141550987958908,0.5157507658004761,14.298133235724745,0.4154852926731109,0.1788748949766159,4,1,1,1,1,2,0,0,0,1024,683,"273271,10f400006b6fb935",4,3,3,42.85714285714285,1.4285714285714286
"273271,118910008d823f61.jpg",11,0,NOT-CROWD,9,0.7948675751686096,0.5242582559585571,0.9324036240577698,1.1865788698196411,0.131842091679573,0.234077975153923,0.1834975481033325,0.6289710998535156,21.10694183864916,0.358138233423233,0.1600701212882995,0,0,0,2,1,2,0,3,1,800,533,"273271,118910008d823f61",1,-2,2,18.181818181818183,0.8181818181818182
"273271,1236a000e7524e84.jpg",10,0,NOT-CROWD,10,0.6753185391426086,0.3292596340179443,0.8806411623954773,2.1945700645446777,0.2194570004940033,0.4144465923309326,0.2793022990226745,0.7966850996017456,23.452157598499063,0.3629140257835388,0.0777522474527359,0,0,0,4,2,4,0,0,0,800,533,"273271,1236a000e7524e84",1,0,0,0.0,1.0
"273271,1261a0009930d51b.jpg",66,1,CROWD,70,0.600566565990448,0.26359623670578,0.914620876312256,0.8712614178657532,0.012446591630578,0.0657292604446411,0.0636637881398201,0.1661818027496338,8.760652953992054,0.3121828436851501,0.0350766070187091,0,0,0,24,26,14,4,0,2,3264,2448,"273271,1261a0009930d51b",0,4,4,6.0606060606060606,1.0606060606060606
"273271,12822000b1291a69.jpg",11,0,NOT-CROWD,10,0.743216872215271,0.5720836520195007,0.892326295375824,1.081348896026611,0.108134888112545,0.174579381942749,0.1945856064558029,0.5235549211502075,11.022927689594356,0.2914694547653198,0.10146464407444,0,0,0,1,4,1,1,2,1,1200,756,"273271,12822000b1291a69",3,-1,1,9.090909090909092,0.9090909090909092
"273271,128e30009deaa60c.jpg",45,1,CROWD,48,0.6176831722259521,0.2577618658542633,0.8882362842559814,1.1416501998901367,0.0237843785434961,0.0984237715601921,0.0844374597072601,0.2442431896924972,50.0,0.3156290054321289,0.0480716340243816,0,0,0,13,26,7,2,0,0,1200,800,"273271,128e30009deaa60c",0,3,3,6.666666666666667,1.0666666666666669
"273271,12ba800097883475.jpg",3,0,NOT-CROWD,3,0.8490066528320312,0.8083606958389282,0.8784049153327942,0.7342692017555237,0.2447564005851745,0.3473299741744995,0.3211609125137329,0.7636545300483704,3.7206994915044014,0.3309593498706817,0.2341071516275406,0,0,0,1,1,1,0,0,0,1100,733,"273271,12ba800097883475",0,0,0,0.0,1.0
"273271,12c170004bd53807.jpg",17,0,NOT-CROWD,17,0.5901520848274231,0.2538608312606811,0.7788886427879333,2.4851229190826416,0.1461836993694305,0.3531810939311981,0.2311142832040786,0.5977551341056824,11.333333333333334,0.3370698094367981,0.0877232551574707,0,0,0,4,4,6,1,1,1,1500,1000,"273271,12c170004bd53807",2,0,0,0.0,1.0
"273271,12ccf00065c5c4ec.jpg",33,1,CROWD,40,0.5761837959289551,0.2594346106052398,0.9377209544181824,0.9858299493789672,0.0246457494795322,0.0952064171433448,0.0800464004278183,0.2549414038658142,69.52894142186685,0.2779395878314972,0.0407811291515827,0,0,0,15,17,6,1,1,0,1100,523,"273271,12ccf00065c5c4ec",4,7,7,21.21212121212121,1.2121212121212122
"273271,130b000028458ffc.jpg",16,0,NOT-CROWD,16,0.8336944580078125,0.7209157943725586,0.8965510725975037,0.9551653265953064,0.0596978329122066,0.0864777639508247,0.1205253452062606,0.4972564876079559,29.72872538089929,0.3021306991577148,0.0752690881490707,0,0,0,0,0,0,7,6,3,900,598,"273271,130b000028458ffc",0,0,0,0.0,1.0
"273271,13246000712ad042.jpg",10,0,NOT-CROWD,13,0.6058736443519592,0.2748143076896667,0.9159016013145448,1.3861374855041504,0.106625959277153,0.3533459901809692,0.1512400060892105,0.6308807134628296,24.07407407407408,0.3414141535758972,0.0600402355194091,0,0,0,7,3,3,0,0,0,900,600,"273271,13246000712ad042",3,3,3,30.0,1.3
"273271,135a5000d155754b.jpg",3,0,NOT-CROWD,3,0.8535347580909729,0.8022590279579163,0.920859694480896,0.6779313087463379,0.2259771078824997,0.3008788526058197,0.3370347321033478,0.6640744209289551,3.128911138923655,0.2713898122310638,0.1660167425870895,0,0,0,0,1,1,0,1,0,1200,799,"273271,135a5000d155754b",0,0,0,0.0,1.0
"273271,13d43000e395817c.jpg",27,1,CROWD,37,0.6975260376930237,0.280299961566925,0.934284508228302,1.4336059093475342,0.0387461073696613,0.1029379591345787,0.0851125568151474,0.444615751504898,2.7261817187264223,0.3863312900066376,0.0526465624570846,0,0,0,13,12,11,1,0,0,4512,3008,"273271,13d43000e395817c",10,10,10,37.03703703703704,1.3703703703703705
"273271,14dc300072ecd939.jpg",18,0,NOT-CROWD,25,0.5421468019485474,0.2508100867271423,0.8217487335205078,0.8308420181274414,0.0332336798310279,0.0926638692617416,0.1086230725049972,0.2725516557693481,29.315196998123827,0.3195667862892151,0.0532457195222377,0,0,0,2,5,1,4,7,6,1066,800,"273271,14dc300072ecd939",2,7,7,38.88888888888889,1.3888888888888888
"273271,14f00058acfe2f.jpg",15,0,NOT-CROWD,12,0.5074472427368164,0.2827863097190857,0.8435744643211365,0.721924901008606,0.0601604096591472,0.2830317616462707,0.1037593856453895,0.2581838369369507,11.444091796875,0.4129583239555359,0.0563454441726207,0,0,0,5,3,4,0,0,0,1024,1024,"273271,14f00058acfe2f",12,-3,3,20.0,0.8
"273271,14f0d00052515611.jpg",30,1,CROWD,31,0.5829265713691711,0.2796201109886169,0.9146831035614014,1.6022754907608032,0.051686305552721,0.348523885011673,0.122795894742012,0.2971755266189575,129.16666666666669,0.3899504840373993,0.069307692348957,4,4,6,7,4,4,1,0,1,600,400,"273271,14f0d00052515611",4,1,1,3.333333333333333,1.0333333333333334
"273271,151210003c437b07.jpg",30,1,CROWD,35,0.6060179471969604,0.2732912302017212,0.8595055937767029,0.5260179042816162,0.0150290830060839,0.0678859949111938,0.0607765614986419,0.214750736951828,20.00457247370828,0.3049933314323425,0.0370713993906974,0,0,0,6,20,5,1,0,3,1620,1080,"273271,151210003c437b07",8,5,5,16.666666666666664,1.1666666666666667
